Title;Artist;YearA Monster Like Me;Kjetil Mørland & Debrah Scarlett;2016;
Amnesia;5 Seconds of Summer;2014;
Ayo Technology;Milow;2008;
A Little Bit Longer;Jonas Brothers;2008;
A Million Dreams;The Greatest Showman;2017;
Anne;Clouseau;1989;
Alle Kleuren;K3;2000;
A Nagy Ho Ho Horgász;100 Folk Celsius;2011;
A Beautiful Lie;30 Seconds to Mars;2005;
Attack;30 Seconds to Mars;2005;
Alibi;30 Seconds to Mars;2009;
A modern myth;30 Seconds to Mars;2005;
A Million Dreams;P!nk;2017;
ALARMA!;666;2012;
All I Want;A Day to Remember;2011;
All Signs Point to Lauderdale;A Day to Remember;2011;
Almost Lover;A Fine Frenzy;2007;
Alles Is Liefde;Bløf;2012;
A Stranger;A Perfect Circle;2003;
Atzin;Frauenarzt & Manny Marc;2011;
Aftermath;Adam Lambert;2010;
Amika;Amika;2008;
Angel;Akon;2010;
Africa;Toto;2010;
All These Things That I've Done;The Killers;2013;
Are You That Somebody;Aaliyah;2014;
At Your Best (You Are Love) (LP Mix - No Intro);Aaliyah;1994;
Another Town, Another Train;ABBA;2001;
As Good As New;ABBA;2001;
Andersomdag;Bart Peeters;2008;
Allemaal Door Jou;Bart Peeters;2006;
Addicted To You;Avicii;2013;
Alone;Alan Walker;2016;
All Of My Heart;ABC;1998;
Airship Pirate (Live);Abney Park;2015;
Alchemy;Above & Beyond;2016;
Adventure of a Lifetime;Coldplay;2015;
Army of One;Coldplay;2015;
A Sky Full of Stars;Coldplay;2014;
Animals;Maroon 5;2014;
Alejandro;Lady Gaga;2009;
All That She Wants;Ace of Base;2004;
All for You (Radio Version);Ace of Base;2011;
Africa;Julien doré & Dick Rivers;2018;
Amsterdam;Jackues Brel;2000;
Allez reste;Boulevard des airs & Vianney;2018;
About a Girl;Nirvana;1989;
Andiamo A Comandare;Fabio Rovazzi;2016;
A Contre-courant;Alizée;2003;
Au Summum;113;2003;
Adesso (Ti voglio bene);Emma Marrone;2015;
Amami;Emma Marrone;2013;
Amore no;Adriano Celentano;1979;
All the Way To Reno;R.E.M.;2001;
After The Love Has Gone;Earth, Wind & Fire;1979;
A ta manière;Amir;2016;
Au cœur de moi;Amir;2017;
Androgyne;Elsa Esnoult;2019;
America;Simon & Garfunkel;1967;
Amen;Francesco Gabbani;2015;
Ain´t Nobody (Break street 84 version);Rufus;1983;
Andy;Clara Morgane;2007;
All I Wanna Do;Dannii Minogue;1996;
All The Lovers;Kylie Minogue;2010;
Axel F;Crazy Frog;2005;
Aragon et Castille;Boby Lapointe;1961;
Also stoßen wir an;Kapelle Petra;2019;
Alles auf Rausch;Feine Sahne Fischfilet;2017;
All For You;Janet Jackson;2001;
Aubrey;Bread;1972;
Audio;LSD;2018;
All the good girls go to Hell;Billie Eilish;2019;
All You Wanted;Michelle Branch;2001;
